n_components,total_clusters,total_outliers,min_cluster_size,max_cluster_size,avg_cluster_size,sil_ex,sil_in,cal_ex,cal_in,div_score,c_v_score,u_mass_score,uci_score,npmi_score
10,16,86,2,356,26.0625,0.002349237,-0.026911458,4.979678774,4.837226828,0.76875,0.410662197,-4.075036945,-5.505395648,-0.102104717
20,45,284,2,27,4.866666667,0.109884489,-0.065606423,5.526510079,3.375192897,0.842222222,0.373457555,-5.954784013,-6.463166374,-0.13067492
30,8,44,2,429,57.375,0.065112286,0.047486821,5.115822759,5.533312352,0.85,0.449638671,-3.07771281,-5.663590211,-0.096705609
40,2,16,4,483,243.5,0.10353804,0.097158234,4.269373302,5.731892022,0.9,0.62053193,-1.03281844,-3.900483925,-0.024571116
50,2,24,4,475,239.5,0.106330406,0.095477271,4.319917705,5.903749351,0.9,0.626026388,-0.97047573,-3.899906991,-0.024415192
60,10,102,2,367,40.1,0.060297397,0.019551218,5.100843009,4.986901179,0.81,0.464678121,-3.542531119,-5.215739787,-0.074055379
70,40,309,2,19,4.85,0.145852853,-0.074674562,5.893714997,3.216500821,0.8475,0.386950171,-4.906935326,-6.358185579,-0.123628851
80,43,312,2,16,4.441860465,0.160832629,-0.074359009,6.0585373,3.10052309,0.830232558,0.375465381,-4.730358055,-6.117255107,-0.115826163
90,7,66,2,416,62.42857143,0.091318216,0.058838145,4.668621983,5.495695236,0.785714286,0.497389455,-2.399822334,-5.040092725,-0.078494007
100,6,66,3,415,72.83333333,0.097022672,0.063030566,5.618391256,6.17929211,0.8,0.523795912,-2.214649177,-5.015118533,-0.072672094
