Classifier,Initial Exploration (”RandomizedSearchCV),,Refined Search (”GridSearchCV”),
,Tuning Parameters,Fixed Parameters,Tuning Parameters,Fixed Parameters
Random Forest,"    'n_estimators': [100, 200, 500],
    'max_depth': [3, 4, 5, 6, 7, 8, 9],  
    'min_samples_split': [2, 5, 10],  
    'min_samples_leaf': [1, 3, 5],  
    'min_weight_fraction_leaf': [0.0, 0.1, 0.2, 0.3, 0.4],  
    'max_leaf_nodes': [None, 10, 30, 50],  
    'min_impurity_decrease': [0.0, 0.1, 0.2],  
    'class_weight': [None, 'balanced', 'balanced_subsample']  ",random_state=42,"    'n_estimators': [300, 500, 700],  
    'max_depth': [7, 8, 9],  
    'min_samples_split': [4, 5, 6],  
    'min_samples_leaf': [2, 3, 4],  
    'min_weight_fraction_leaf': [0.0, 0.1, 0.2],     
    'max_leaf_nodes': [20, 30, 40],  
    'min_impurity_decrease': [0.0, 0.1], 
    'class_weight': ['balanced', 'balanced_subsample']  ",random_state=42
XGBoost,"    'learning_rate': [0.01, 0.05, 0.1, 0.2, 0.3],
    'max_depth': [3, 4, 5, 6, 7, 8, 9],
    'min_child_weight': [1, 3, 5],
    'subsample': [0.5, 0.7, 1],
    'colsample_bytree': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9],
    'n_estimators' : [100, 200, 500, 1000],
    'gamma': [0, 0.1, 0.2]","objective='multi:softmax', 
random_state=42, 
importance_type='gain'","    'learning_rate': [0.03, 0.05, 0.07],
    'max_depth': [4, 5, 6],
    'min_child_weight': [1, 2],
    'subsample': [0.4, 0.5, 0.6],
    'colsample_bytree': [0.2, 0.3, 0.4],
    'gamma': [0.05, 0.1, 0.15]","objective='multi:softmax', 
random_state=42, 
importance_type='gain', n_estimators=1000"
SVM,"    'C': [0.1, 1, 10, 100],
    'gamma': ['scale', 'auto', 0.1, 1, 10],  
    'shrinking': [True, False], 
    'tol': [1e-3, 1e-4, 1e-5],  
    'class_weight': [None, 'balanced']","decision_function_shape='ovr', 
random_state=42, 
probability=True, 
kernel='linear'","    'C': [0.05, 0.1, 0.2], 
    'gamma': ['scale', 'auto'],  
    'shrinking': [True, False], 
    'tol': [0.0005, 0.001, 0.002], 
    'class_weight': [None, 'balanced']","decision_function_shape='ovr', 
random_state=42, 
probability=True, 
kernel='linear'"
